year,age,industry,female,male
2006,45-49,Manufacturing,16300,29600
2005,45-49,Manufacturing,13800,24400
2004,45-49,Manufacturing,15900,27900
2003,45-49,Manufacturing,15100,27600
2002,45-49,Manufacturing,16800,24900
2001,45-49,Manufacturing,16200,24900
2000,45-49,Manufacturing,15900,22600
2021,50-54,Manufacturing,9400,15800
2020,50-54,Manufacturing,10500,19800
2019,50-54,Manufacturing,10100,21700
2018,50-54,Manufacturing,12100,20800
2017,50-54,Manufacturing,9900,21500
2016,50-54,Manufacturing,12100,21800
2015,50-54,Manufacturing,11600,21900
2014,50-54,Manufacturing,12800,23400
2013,50-54,Manufacturing,12900,24900
2012,50-54,Manufacturing,12900,24700
2011,50-54,Manufacturing,12000,24700
2010,50-54,Manufacturing,11900,23600
2009,50-54,Manufacturing,13000,24000
2008,50-54,Manufacturing,12400,24500
2007,50-54,Manufacturing,11300,21400
2006,50-54,Manufacturing,13000,20900
2005,50-54,Manufacturing,10200,18100
2004,50-54,Manufacturing,11500,20600
2003,50-54,Manufacturing,11500,19700
2002,50-54,Manufacturing,10600,18900
2001,50-54,Manufacturing,9200,18900
2000,50-54,Manufacturing,8400,14700
2021,55-59,Manufacturing,9300,15400
2020,55-59,Manufacturing,8800,16400
2019,55-59,Manufacturing,9200,16600
2018,55-59,Manufacturing,8300,17600
2017,55-59,Manufacturing,7800,16400
2016,55-59,Manufacturing,8400,15800
2015,55-59,Manufacturing,9000,16300
2014,55-59,Manufacturing,8300,19000
2013,55-59,Manufacturing,8600,18300
2012,55-59,Manufacturing,8900,20400
2011,55-59,Manufacturing,8300,18100
2010,55-59,Manufacturing,7000,15100
2009,55-59,Manufacturing,7600,16800
2008,55-59,Manufacturing,6500,16100
2007,55-59,Manufacturing,6800,15300
2006,55-59,Manufacturing,6100,13500
2005,55-59,Manufacturing,5100,10100
2004,55-59,Manufacturing,5000,12100
2003,55-59,Manufacturing,3600,10800
2002,55-59,Manufacturing,4100,8200
2001,55-59,Manufacturing,3200,6300
2000,55-59,Manufacturing,2800,6300
2021,60-64,Manufacturing,7800,11900
2020,60-64,Manufacturing,5900,11500
2019,60-64,Manufacturing,4200,13200
2018,60-64,Manufacturing,5100,11600
2017,60-64,Manufacturing,5300,12400
2016,60-64,Manufacturing,5900,11400
2015,60-64,Manufacturing,5000,11700
2014,60-64,Manufacturing,4900,12400
2013,60-64,Manufacturing,5300,11200
2012,60-64,Manufacturing,4600,10600
2011,60-64,Manufacturing,4100,9900
2010,60-64,Manufacturing,2800,8500
2009,60-64,Manufacturing,2900,8100
2008,60-64,Manufacturing,2500,6600
2007,60-64,Manufacturing,2500,5600
2006,60-64,Manufacturing,1500,5000
2005,60-64,Manufacturing,1300,3100
2004,60-64,Manufacturing,1200,4300
2003,60-64,Manufacturing,1400,3400
2002,60-64,Manufacturing,1300,3300
2001,60-64,Manufacturing,1400,4500
2000,60-64,Manufacturing,1000,3300
2021,65 and older,Manufacturing,6600,11400
2020,65 and older,Manufacturing,5100,10200
2019,65 and older,Manufacturing,4600,8700
2018,65 and older,Manufacturing,4000,8400
2017,65 and older,Manufacturing,3800,7000
2016,65 and older,Manufacturing,4000,6800
2015,65 and older,Manufacturing,3400,5900
2014,65 and older,Manufacturing,2900,6600
2013,65 and older,Manufacturing,2800,6400
2012,65 and older,Manufacturing,2500,5900
2011,65 and older,Manufacturing,2000,5100
2010,65 and older,Manufacturing,1900,4300
2009,65 and older,Manufacturing,1000,4300
2008,65 and older,Manufacturing,1600,3400
2007,65 and older,Manufacturing,1300,3300
2006,65 and older,Manufacturing,1300,2600
2005,65 and older,Manufacturing,700,1900
2004,65 and older,Manufacturing,600,2200
2003,65 and older,Manufacturing,800,2100
2002,65 and older,Manufacturing,600,2600
2001,65 and older,Manufacturing,600,1900
2000,65 and older,Manufacturing,600,1900
2021,15-19,Construction,400,100
2020,15-19,Construction,100,100
2019,15-19,Construction,100,300
2018,15-19,Construction,0,100
2017,15-19,Construction,200,0
2016,15-19,Construction,0,300
2015,15-19,Construction,200,200
2014,15-19,Construction,100,0
2013,15-19,Construction,0,0
2012,15-19,Construction,100,100
2011,15-19,Construction,0,200
2010,15-19,Construction,100,0
2009,15-19,Construction,100,200
2008,15-19,Construction,100,100
2007,15-19,Construction,200,100
2006,15-19,Construction,0,100
2005,15-19,Construction,0,0
2004,15-19,Construction,100,200
2003,15-19,Construction,100,100
2002,15-19,Construction,200,100
2001,15-19,Construction,100,200
2000,15-19,Construction,100,100
2021,20-24,Construction,1100,900
2020,20-24,Construction,1200,800
2019,20-24,Construction,700,600
2018,20-24,Construction,900,1000
2017,20-24,Construction,1300,1300
2016,20-24,Construction,800,1100
2015,20-24,Construction,1400,1300
2014,20-24,Construction,1100,1200
2013,20-24,Construction,900,1100
2012,20-24,Construction,1500,1300
2011,20-24,Construction,1100,900
2010,20-24,Construction,1000,1100
2009,20-24,Construction,1100,1100
2008,20-24,Construction,1100,1200
2007,20-24,Construction,1000,900
2006,20-24,Construction,1100,1100
2005,20-24,Construction,500,900
2004,20-24,Construction,900,1300
2003,20-24,Construction,1400,800
2002,20-24,Construction,900,1300
2001,20-24,Construction,1200,1400
2000,20-24,Construction,1500,1800
2021,25-29,Construction,1800,4000
2020,25-29,Construction,2400,3600
2019,25-29,Construction,1800,3500
2018,25-29,Construction,2000,3500
2017,25-29,Construction,2000,3700
2016,25-29,Construction,2300,4300
2015,25-29,Construction,1900,3700
2014,25-29,Construction,2700,3800
2013,25-29,Construction,1600,3000
2012,25-29,Construction,2000,4500
2011,25-29,Construction,1800,3500
2010,25-29,Construction,2900,4700
2009,25-29,Construction,2300,4100
2008,25-29,Construction,1700,3800
2007,25-29,Construction,1700,3500
2006,25-29,Construction,1900,3400
2005,25-29,Construction,1700,3800
2004,25-29,Construction,1700,3900
2003,25-29,Construction,2900,4400
2002,25-29,Construction,2800,6000
2001,25-29,Construction,3200,6300
2000,25-29,Construction,2900,7600
2021,30-34,Construction,3300,6500
2020,30-34,Construction,3400,6300
2019,30-34,Construction,2800,4400
2018,30-34,Construction,3400,5300
2017,30-34,Construction,4000,5700
2016,30-34,Construction,3500,3900
2015,30-34,Construction,3900,5800
2014,30-34,Construction,2800,5200
2013,30-34,Construction,2700,5200
2012,30-34,Construction,2400,4700
2011,30-34,Construction,3200,5300
2010,30-34,Construction,3400,7200
2009,30-34,Construction,3900,7000
2008,30-34,Construction,2400,7000
2007,30-34,Construction,2900,7100
2006,30-34,Construction,2900,6300
2005,30-34,Construction,3000,7600
2004,30-34,Construction,2700,8600
2003,30-34,Construction,3400,9900
2002,30-34,Construction,3300,8700
2001,30-34,Construction,3200,10900
2000,30-34,Construction,2900,11500
2021,35-39,Construction,4100,5600
2020,35-39,Construction,3400,6600
2019,35-39,Construction,3200,6200
2018,35-39,Construction,3400,7200
2017,35-39,Construction,4400,6400
2016,35-39,Construction,4000,7100
2015,35-39,Construction,4300,5900
2014,35-39,Construction,3100,5300
2013,35-39,Construction,3500,7800
2012,35-39,Construction,3500,8500
2011,35-39,Construction,3700,9000
2010,35-39,Construction,3900,9600
2009,35-39,Construction,4900,10900
2008,35-39,Construction,3800,9700
2007,35-39,Construction,3100,11600
2006,35-39,Construction,2900,10900
2005,35-39,Construction,2800,10900
2004,35-39,Construction,3200,11500
2003,35-39,Construction,3400,13300
2002,35-39,Construction,2600,15900
2001,35-39,Construction,3800,17200
2000,35-39,Construction,2800,16500
2021,40-44,Construction,3600,6400
2020,40-44,Construction,3000,6900
2019,40-44,Construction,3900,6700
2018,40-44,Construction,4200,8400
2017,40-44,Construction,4000,8600
2016,40-44,Construction,3500,8700
2015,40-44,Construction,3900,9300
2014,40-44,Construction,3300,9000
2013,40-44,Construction,3100,9900
2012,40-44,Construction,3300,10800
2011,40-44,Construction,4200,10200
2010,40-44,Construction,3500,11500
2009,40-44,Construction,4400,14000
2008,40-44,Construction,3900,15600
2007,40-44,Construction,3200,14100
2006,40-44,Construction,3400,15200
2005,40-44,Construction,2800,15800
2004,40-44,Construction,2300,18000
2003,40-44,Construction,3000,17100
2002,40-44,Construction,2300,17800
2001,40-44,Construction,3000,18200
2000,40-44,Construction,2200,15800
2021,45-49,Construction,3600,8400
2020,45-49,Construction,3300,8900
2019,45-49,Construction,3500,9600
2018,45-49,Construction,4000,11300
2017,45-49,Construction,3800,10600
2016,45-49,Construction,3400,11000
2015,45-49,Construction,3900,12600
2014,45-49,Construction,3700,10800
2013,45-49,Construction,4200,12600
2012,45-49,Construction,4700,14300
2011,45-49,Construction,3500,15700
2010,45-49,Construction,3600,16200
2009,45-49,Construction,4000,17700
2008,45-49,Construction,3600,17500
2007,45-49,Construction,3100,17500
2006,45-49,Construction,2700,15700
2005,45-49,Construction,2300,13200
2004,45-49,Construction,2000,14800
2003,45-49,Construction,2100,14700
2002,45-49,Construction,1500,15200
2001,45-49,Construction,1600,13600
2000,45-49,Construction,1200,11200
2021,50-54,Construction,3800,8700
2020,50-54,Construction,3900,10000
2019,50-54,Construction,4500,11800
2018,50-54,Construction,3600,12600
2017,50-54,Construction,3200,12400
2016,50-54,Construction,3700,13600
2015,50-54,Construction,4600,15500
2014,50-54,Construction,3900,14100
2013,50-54,Construction,4000,14900
2012,50-54,Construction,3200,15400
2011,50-54,Construction,2200,14100
2010,50-54,Construction,2900,13600
2009,50-54,Construction,2800,15600
2008,50-54,Construction,2400,14700
2007,50-54,Construction,2000,13500
2006,50-54,Construction,1400,13300
2005,50-54,Construction,1300,9700
2004,50-54,Construction,1100,10600
2003,50-54,Construction,800,10600
2002,50-54,Construction,800,9400
2001,50-54,Construction,600,9000
2000,50-54,Construction,600,7400
2021,55-59,Construction,3000,10600
2020,55-59,Construction,3100,11600
2019,55-59,Construction,3100,12900
2018,55-59,Construction,2300,12300
2017,55-59,Construction,2600,10300
2016,55-59,Construction,3800,10200
2015,55-59,Construction,3200,13700
2014,55-59,Construction,1900,11800
2013,55-59,Construction,2100,12500
2012,55-59,Construction,1800,10700
2011,55-59,Construction,1700,10000
2010,55-59,Construction,1100,10600
2009,55-59,Construction,1500,10000
2008,55-59,Construction,800,8800
2007,55-59,Construction,700,8200
2006,55-59,Construction,500,7600
2005,55-59,Construction,600,5600
2004,55-59,Construction,600,5300
2003,55-59,Construction,400,5800
2002,55-59,Construction,400,4200
2001,55-59,Construction,200,3400
2000,55-59,Construction,200,3500
2021,60-64,Construction,2500,8100
2020,60-64,Construction,2500,7300
2019,60-64,Construction,1700,8900
2018,60-64,Construction,2100,8700
2017,60-64,Construction,1500,7400
2016,60-64,Construction,1600,8000
2015,60-64,Construction,1200,7800
2014,60-64,Construction,1000,6600
2013,60-64,Construction,1200,7100
2012,60-64,Construction,900,6500
2011,60-64,Construction,600,5300
2010,60-64,Construction,400,3900
2009,60-64,Construction,500,4600
2008,60-64,Construction,500,4600
2007,60-64,Construction,400,3800
2006,60-64,Construction,300,2900
2005,60-64,Construction,200,1800
2004,60-64,Construction,200,2100
2003,60-64,Construction,200,2300
2002,60-64,Construction,100,2200
2001,60-64,Construction,200,1900
2000,60-64,Construction,200,1500
2021,65 and older,Construction,2600,9400
2020,65 and older,Construction,2100,7000
2019,65 and older,Construction,1600,6300
2018,65 and older,Construction,1800,6200
2017,65 and older,Construction,1700,5700
2016,65 and older,Construction,1300,5200
2015,65 and older,Construction,1500,4700
2014,65 and older,Construction,1600,5200
2013,65 and older,Construction,700,3800
2012,65 and older,Construction,600,3800
2011,65 and older,Construction,300,3400
2010,65 and older,Construction,500,2300
2009,65 and older,Construction,500,2600
2008,65 and older,Construction,200,2000
2007,65 and older,Construction,400,1900
2006,65 and older,Construction,200,1200
2005,65 and older,Construction,100,1000
2004,65 and older,Construction,100,1200
2003,65 and older,Construction,0,1100
2002,65 and older,Construction,0,700
2001,65 and older,Construction,0,1000
2000,65 and older,Construction,0,600
2021,15-19,Wholesale & Retail Trade,1700,1100
2020,15-19,Wholesale & Retail Trade,1400,600
2019,15-19,Wholesale & Retail Trade,2500,1200
2018,15-19,Wholesale & Retail Trade,2600,1300
2017,15-19,Wholesale & Retail Trade,2400,1200
2016,15-19,Wholesale & Retail Trade,3200,1400
2015,15-19,Wholesale & Retail Trade,3500,1300
2014,15-19,Wholesale & Retail Trade,2300,1400
2013,15-19,Wholesale & Retail Trade,2600,1300
2012,15-19,Wholesale & Retail Trade,2700,1400
2011,15-19,Wholesale & Retail Trade,3500,1500
2010,15-19,Wholesale & Retail Trade,3600,1500
2009,15-19,Wholesale & Retail Trade,2800,1100
2008,15-19,Wholesale & Retail Trade,3300,2100
2007,15-19,Wholesale & Retail Trade,4300,1300
2006,15-19,Wholesale & Retail Trade,3600,1600
2005,15-19,Wholesale & Retail Trade,2700,600
2004,15-19,Wholesale & Retail Trade,3700,1300
2003,15-19,Wholesale & Retail Trade,3100,1200
2002,15-19,Wholesale & Retail Trade,2700,900
2001,15-19,Wholesale & Retail Trade,3200,1700
2000,15-19,Wholesale & Retail Trade,3000,600
2021,20-24,Wholesale & Retail Trade,7700,3500
2020,20-24,Wholesale & Retail Trade,8200,3700
2019,20-24,Wholesale & Retail Trade,8000,5300
2018,20-24,Wholesale & Retail Trade,9800,4900
2017,20-24,Wholesale & Retail Trade,10200,5400
2016,20-24,Wholesale & Retail Trade,11600,6100
2015,20-24,Wholesale & Retail Trade,10100,6600
2014,20-24,Wholesale & Retail Trade,10200,7000
2013,20-24,Wholesale & Retail Trade,10100,6400
2012,20-24,Wholesale & Retail Trade,10600,7500
2011,20-24,Wholesale & Retail Trade,10700,5800
2010,20-24,Wholesale & Retail Trade,10000,6500
2009,20-24,Wholesale & Retail Trade,7600,5900
2008,20-24,Wholesale & Retail Trade,10000,5000
2007,20-24,Wholesale & Retail Trade,9900,6700
2006,20-24,Wholesale & Retail Trade,10700,6600
2005,20-24,Wholesale & Retail Trade,11300,6700
2004,20-24,Wholesale & Retail Trade,10100,5700
2003,20-24,Wholesale & Retail Trade,10200,4800
2002,20-24,Wholesale & Retail Trade,9000,5400
2001,20-24,Wholesale & Retail Trade,9400,5800
2000,20-24,Wholesale & Retail Trade,10400,6200
2021,25-29,Wholesale & Retail Trade,13700,12200
2020,25-29,Wholesale & Retail Trade,14000,12600
2019,25-29,Wholesale & Retail Trade,13400,13700
2018,25-29,Wholesale & Retail Trade,14700,13400
2017,25-29,Wholesale & Retail Trade,14100,13000
2016,25-29,Wholesale & Retail Trade,14600,14000
2015,25-29,Wholesale & Retail Trade,14600,13400
2014,25-29,Wholesale & Retail Trade,14600,12100
2013,25-29,Wholesale & Retail Trade,12800,11500
2012,25-29,Wholesale & Retail Trade,11300,10600
2011,25-29,Wholesale & Retail Trade,13300,12400
2010,25-29,Wholesale & Retail Trade,12500,12400
2009,25-29,Wholesale & Retail Trade,11900,11900
2008,25-29,Wholesale & Retail Trade,11600,11300
2007,25-29,Wholesale & Retail Trade,14100,13700
2006,25-29,Wholesale & Retail Trade,15000,13400
2005,25-29,Wholesale & Retail Trade,17900,17400
2004,25-29,Wholesale & Retail Trade,14400,14600
2003,25-29,Wholesale & Retail Trade,13900,12400
2002,25-29,Wholesale & Retail Trade,14700,13300
2001,25-29,Wholesale & Retail Trade,14800,14800
2000,25-29,Wholesale & Retail Trade,17200,16700
2021,30-34,Wholesale & Retail Trade,18600,17800
2020,30-34,Wholesale & Retail Trade,16000,15700
2019,30-34,Wholesale & Retail Trade,18600,17700
2018,30-34,Wholesale & Retail Trade,17900,16700
2017,30-34,Wholesale & Retail Trade,18200,16200
2016,30-34,Wholesale & Retail Trade,18500,17600
2015,30-34,Wholesale & Retail Trade,19800,17700
2014,30-34,Wholesale & Retail Trade,18600,15900
2013,30-34,Wholesale & Retail Trade,16600,14700
2012,30-34,Wholesale & Retail Trade,17700,14500
2011,30-34,Wholesale & Retail Trade,17500,15300
2010,30-34,Wholesale & Retail Trade,16200,14200
2009,30-34,Wholesale & Retail Trade,17100,13900
2008,30-34,Wholesale & Retail Trade,18100,15700
2007,30-34,Wholesale & Retail Trade,17200,15900
2006,30-34,Wholesale & Retail Trade,20500,18200
2005,30-34,Wholesale & Retail Trade,21200,22800
2004,30-34,Wholesale & Retail Trade,18600,22700
2003,30-34,Wholesale & Retail Trade,16000,18500
2002,30-34,Wholesale & Retail Trade,18300,21300
2001,30-34,Wholesale & Retail Trade,17100,18700
2000,30-34,Wholesale & Retail Trade,17700,21400
2021,35-39,Wholesale & Retail Trade,20700,20300
2020,35-39,Wholesale & Retail Trade,21700,19000
2019,35-39,Wholesale & Retail Trade,21000,19400
2018,35-39,Wholesale & Retail Trade,22600,21900
2017,35-39,Wholesale & Retail Trade,22700,21700
2016,35-39,Wholesale & Retail Trade,21600,20400
2015,35-39,Wholesale & Retail Trade,25600,22800
2014,35-39,Wholesale & Retail Trade,21000,20300
2013,35-39,Wholesale & Retail Trade,19300,17700
2012,35-39,Wholesale & Retail Trade,22000,18400
2011,35-39,Wholesale & Retail Trade,19700,20100
2010,35-39,Wholesale & Retail Trade,18100,18300
2009,35-39,Wholesale & Retail Trade,19000,18200
2008,35-39,Wholesale & Retail Trade,17600,18400
2007,35-39,Wholesale & Retail Trade,16300,19900
2006,35-39,Wholesale & Retail Trade,19200,22500
2005,35-39,Wholesale & Retail Trade,21300,25400
2004,35-39,Wholesale & Retail Trade,17100,21000
2003,35-39,Wholesale & Retail Trade,18000,22400
2002,35-39,Wholesale & Retail Trade,18000,24800
2001,35-39,Wholesale & Retail Trade,17400,23600
2000,35-39,Wholesale & Retail Trade,16600,25600
2021,40-44,Wholesale & Retail Trade,21900,18800
2020,40-44,Wholesale & Retail Trade,21000,20000
2019,40-44,Wholesale & Retail Trade,22000,21700
2018,40-44,Wholesale & Retail Trade,22200,23400
2017,40-44,Wholesale & Retail Trade,22200,22900
2016,40-44,Wholesale & Retail Trade,24000,22800
2015,40-44,Wholesale & Retail Trade,24200,24000
2014,40-44,Wholesale & Retail Trade,22400,23600
2013,40-44,Wholesale & Retail Trade,19400,20300
2012,40-44,Wholesale & Retail Trade,20300,21400
2011,40-44,Wholesale & Retail Trade,19300,18800
2010,40-44,Wholesale & Retail Trade,19700,18900
2009,40-44,Wholesale & Retail Trade,19800,21000
2008,40-44,Wholesale & Retail Trade,19200,19000
2007,40-44,Wholesale & Retail Trade,19500,21600
2006,40-44,Wholesale & Retail Trade,22100,25100
2005,40-44,Wholesale & Retail Trade,20500,28500
2004,40-44,Wholesale & Retail Trade,19100,25800
2003,40-44,Wholesale & Retail Trade,16500,22600
2002,40-44,Wholesale & Retail Trade,16600,23000
2001,40-44,Wholesale & Retail Trade,16400,25000
2000,40-44,Wholesale & Retail Trade,15900,24800
2021,45-49,Wholesale & Retail Trade,21500,19300
2020,45-49,Wholesale & Retail Trade,21600,22700
2019,45-49,Wholesale & Retail Trade,22700,25900
2018,45-49,Wholesale & Retail Trade,23500,22100
2017,45-49,Wholesale & Retail Trade,22500,24400
2016,45-49,Wholesale & Retail Trade,25000,24600
2015,45-49,Wholesale & Retail Trade,23700,25300
2014,45-49,Wholesale & Retail Trade,21600,23100
2013,45-49,Wholesale & Retail Trade,20000,24300
2012,45-49,Wholesale & Retail Trade,22000,20700
2011,45-49,Wholesale & Retail Trade,22600,22900
2010,45-49,Wholesale & Retail Trade,20200,20600
2009,45-49,Wholesale & Retail Trade,18800,21300
2008,45-49,Wholesale & Retail Trade,19200,21200
2007,45-49,Wholesale & Retail Trade,19000,21900
2006,45-49,Wholesale & Retail Trade,20600,25400
2005,45-49,Wholesale & Retail Trade,16800,25200
2004,45-49,Wholesale & Retail Trade,16100,24500
2003,45-49,Wholesale & Retail Trade,14800,21200
2002,45-49,Wholesale & Retail Trade,14600,19100
2001,45-49,Wholesale & Retail Trade,13900,20500
2000,45-49,Wholesale & Retail Trade,12100,19700
2021,50-54,Wholesale & Retail Trade,17900,17300
2020,50-54,Wholesale & Retail Trade,19400,19400
2019,50-54,Wholesale & Retail Trade,20700,24400
2018,50-54,Wholesale & Retail Trade,22600,22100
2017,50-54,Wholesale & Retail Trade,21800,26300
2016,50-54,Wholesale & Retail Trade,21600,24600
2015,50-54,Wholesale & Retail Trade,22100,24800
2014,50-54,Wholesale & Retail Trade,21800,25500
2013,50-54,Wholesale & Retail Trade,18100,21100
2012,50-54,Wholesale & Retail Trade,19300,21300
2011,50-54,Wholesale & Retail Trade,18000,21700
2010,50-54,Wholesale & Retail Trade,17900,19000
2009,50-54,Wholesale & Retail Trade,15400,20000
2008,50-54,Wholesale & Retail Trade,15300,18500
2007,50-54,Wholesale & Retail Trade,15200,19300
2006,50-54,Wholesale & Retail Trade,15400,20000
2005,50-54,Wholesale & Retail Trade,12100,19300
2004,50-54,Wholesale & Retail Trade,11100,17400
2003,50-54,Wholesale & Retail Trade,10600,17400
2002,50-54,Wholesale & Retail Trade,9900,17400
2001,50-54,Wholesale & Retail Trade,9100,16200
2000,50-54,Wholesale & Retail Trade,7600,15100
2021,55-59,Wholesale & Retail Trade,16300,21500
2020,55-59,Wholesale & Retail Trade,18200,19800
2019,55-59,Wholesale & Retail Trade,19600,19300
2018,55-59,Wholesale & Retail Trade,17000,20400
2017,55-59,Wholesale & Retail Trade,16500,20800
2016,55-59,Wholesale & Retail Trade,18400,22500
2015,55-59,Wholesale & Retail Trade,17100,21700
2014,55-59,Wholesale & Retail Trade,18600,20500
2013,55-59,Wholesale & Retail Trade,13400,14800
2012,55-59,Wholesale & Retail Trade,13200,17300
2011,55-59,Wholesale & Retail Trade,12700,15500
2010,55-59,Wholesale & Retail Trade,12200,15000
2009,55-59,Wholesale & Retail Trade,9700,13000
2008,55-59,Wholesale & Retail Trade,9000,13500
2007,55-59,Wholesale & Retail Trade,8300,12900
2006,55-59,Wholesale & Retail Trade,8100,14400
2005,55-59,Wholesale & Retail Trade,6700,12900
2004,55-59,Wholesale & Retail Trade,6400,11200
2003,55-59,Wholesale & Retail Trade,4600,10900
2002,55-59,Wholesale & Retail Trade,4100,10100
2001,55-59,Wholesale & Retail Trade,3400,7100
