year,occupation,numberOfworkers,sex,age
2004,Associate Professionals & Technicians,5600,male,20 - 24
2003,Associate Professionals & Technicians,5400,male,20 - 24
2002,Associate Professionals & Technicians,5800,male,20 - 24
2001,Associate Professionals & Technicians,7100,male,20 - 24
2000,Associate Professionals & Technicians,7000,male,20 - 24
2021,Clerical Support Workers,7100,male,20 - 24
2020,Clerical Support Workers,5500,male,20 - 24
2019,Clerical Support Workers,7600,male,20 - 24
2018,Clerical Support Workers,8900,male,20 - 24
2017,Clerical Support Workers,7900,male,20 - 24
2016,Clerical Support Workers,9000,male,20 - 24
2015,Clerical Support Workers,9300,male,20 - 24
2014,Clerical Support Workers,9600,male,20 - 24
2013,Clerical Support Workers,8900,male,20 - 24
2012,Clerical Support Workers,9100,male,20 - 24
2011,Clerical Support Workers,7600,male,20 - 24
2010,Clerical Support Workers,7600,male,20 - 24
2009,Clerical Support Workers,7100,male,20 - 24
2008,Clerical Support Workers,7500,male,20 - 24
2007,Clerical Support Workers,5800,male,20 - 24
2006,Clerical Support Workers,0,male,20 - 24
2005,Clerical Support Workers,4300,male,20 - 24
2004,Clerical Support Workers,3500,male,20 - 24
2003,Clerical Support Workers,2200,male,20 - 24
2002,Clerical Support Workers,2000,male,20 - 24
2001,Clerical Support Workers,3500,male,20 - 24
2000,Clerical Support Workers,3300,male,20 - 24
2021,Service & Sales Workers,6600,male,20 - 24
2020,Service & Sales Workers,6600,male,20 - 24
2019,Service & Sales Workers,9500,male,20 - 24
2018,Service & Sales Workers,8300,male,20 - 24
2017,Service & Sales Workers,9300,male,20 - 24
2016,Service & Sales Workers,10600,male,20 - 24
2015,Service & Sales Workers,10900,male,20 - 24
2014,Service & Sales Workers,10300,male,20 - 24
2013,Service & Sales Workers,9400,male,20 - 24
2012,Service & Sales Workers,10900,male,20 - 24
2011,Service & Sales Workers,9600,male,20 - 24
2010,Service & Sales Workers,10600,male,20 - 24
2009,Service & Sales Workers,9500,male,20 - 24
2008,Service & Sales Workers,8600,male,20 - 24
2007,Service & Sales Workers,10100,male,20 - 24
2006,Service & Sales Workers,0,male,20 - 24
2005,Service & Sales Workers,11900,male,20 - 24
2004,Service & Sales Workers,8100,male,20 - 24
2003,Service & Sales Workers,7400,male,20 - 24
2002,Service & Sales Workers,8100,male,20 - 24
2001,Service & Sales Workers,8400,male,20 - 24
2000,Service & Sales Workers,10200,male,20 - 24
2021,Craftsmen & Related Trade Workers,1200,male,20 - 24
2020,Craftsmen & Related Trade Workers,1800,male,20 - 24
2019,Craftsmen & Related Trade Workers,1400,male,20 - 24
2018,Craftsmen & Related Trade Workers,1400,male,20 - 24
2017,Craftsmen & Related Trade Workers,2000,male,20 - 24
2016,Craftsmen & Related Trade Workers,2600,male,20 - 24
2015,Craftsmen & Related Trade Workers,2600,male,20 - 24
2014,Craftsmen & Related Trade Workers,1900,male,20 - 24
2013,Craftsmen & Related Trade Workers,2000,male,20 - 24
2012,Craftsmen & Related Trade Workers,2000,male,20 - 24
2011,Craftsmen & Related Trade Workers,1600,male,20 - 24
2010,Craftsmen & Related Trade Workers,1700,male,20 - 24
2009,Craftsmen & Related Trade Workers,1100,male,20 - 24
2008,Craftsmen & Related Trade Workers,1800,male,20 - 24
2007,Craftsmen & Related Trade Workers,2400,male,20 - 24
2006,Craftsmen & Related Trade Workers,0,male,20 - 24
2005,Craftsmen & Related Trade Workers,2700,male,20 - 24
2004,Craftsmen & Related Trade Workers,2200,male,20 - 24
2003,Craftsmen & Related Trade Workers,2300,male,20 - 24
2002,Craftsmen & Related Trade Workers,2600,male,20 - 24
2001,Craftsmen & Related Trade Workers,2900,male,20 - 24
2000,Craftsmen & Related Trade Workers,3500,male,20 - 24
2021,Plant & Machine Operators & Assemblers,3600,male,20 - 24
2020,Plant & Machine Operators & Assemblers,3300,male,20 - 24
2019,Plant & Machine Operators & Assemblers,3000,male,20 - 24
2018,Plant & Machine Operators & Assemblers,2300,male,20 - 24
2017,Plant & Machine Operators & Assemblers,3500,male,20 - 24
2016,Plant & Machine Operators & Assemblers,2600,male,20 - 24
2015,Plant & Machine Operators & Assemblers,2200,male,20 - 24
2014,Plant & Machine Operators & Assemblers,1900,male,20 - 24
2013,Plant & Machine Operators & Assemblers,2100,male,20 - 24
2012,Plant & Machine Operators & Assemblers,2400,male,20 - 24
2011,Plant & Machine Operators & Assemblers,2500,male,20 - 24
2010,Plant & Machine Operators & Assemblers,2400,male,20 - 24
2009,Plant & Machine Operators & Assemblers,2900,male,20 - 24
2008,Plant & Machine Operators & Assemblers,2000,male,20 - 24
2007,Plant & Machine Operators & Assemblers,2600,male,20 - 24
2006,Plant & Machine Operators & Assemblers,0,male,20 - 24
2005,Plant & Machine Operators & Assemblers,2500,male,20 - 24
2004,Plant & Machine Operators & Assemblers,2300,male,20 - 24
2003,Plant & Machine Operators & Assemblers,2000,male,20 - 24
2002,Plant & Machine Operators & Assemblers,2700,male,20 - 24
2001,Plant & Machine Operators & Assemblers,2000,male,20 - 24
2000,Plant & Machine Operators & Assemblers,3000,male,20 - 24
2021,"Cleaners, Labourers & Related Workers",3000,male,20 - 24
2020,"Cleaners, Labourers & Related Workers",2300,male,20 - 24
2019,"Cleaners, Labourers & Related Workers",2000,male,20 - 24
2018,"Cleaners, Labourers & Related Workers",2700,male,20 - 24
2017,"Cleaners, Labourers & Related Workers",2700,male,20 - 24
2016,"Cleaners, Labourers & Related Workers",2100,male,20 - 24
2015,"Cleaners, Labourers & Related Workers",2400,male,20 - 24
2014,"Cleaners, Labourers & Related Workers",2900,male,20 - 24
2013,"Cleaners, Labourers & Related Workers",2600,male,20 - 24
2012,"Cleaners, Labourers & Related Workers",2700,male,20 - 24
2011,"Cleaners, Labourers & Related Workers",2100,male,20 - 24
2010,"Cleaners, Labourers & Related Workers",2000,male,20 - 24
2009,"Cleaners, Labourers & Related Workers",2100,male,20 - 24
2008,"Cleaners, Labourers & Related Workers",1800,male,20 - 24
2007,"Cleaners, Labourers & Related Workers",1800,male,20 - 24
2006,"Cleaners, Labourers & Related Workers",0,male,20 - 24
2005,"Cleaners, Labourers & Related Workers",2200,male,20 - 24
2004,"Cleaners, Labourers & Related Workers",3500,male,20 - 24
2003,"Cleaners, Labourers & Related Workers",1900,male,20 - 24
2002,"Cleaners, Labourers & Related Workers",2000,male,20 - 24
2001,"Cleaners, Labourers & Related Workers",2200,male,20 - 24
2000,"Cleaners, Labourers & Related Workers",2200,male,20 - 24
2021,Others,30300,male,20 - 24
2020,Others,31600,male,20 - 24
2019,Others,33800,male,20 - 24
2018,Others,35700,male,20 - 24
2017,Others,37300,male,20 - 24
2016,Others,39200,male,20 - 24
2015,Others,37800,male,20 - 24
2014,Others,42200,male,20 - 24
2013,Others,42800,male,20 - 24
2012,Others,44100,male,20 - 24
2011,Others,41000,male,20 - 24
2010,Others,37000,male,20 - 24
2009,Others,36300,male,20 - 24
2008,Others,34800,male,20 - 24
2007,Others,31800,male,20 - 24
2006,Others,0,male,20 - 24
2005,Others,26900,male,20 - 24
2004,Others,41800,male,20 - 24
2003,Others,42500,male,20 - 24
2002,Others,39300,male,20 - 24
2001,Others,38200,male,20 - 24
2000,Others,27600,male,20 - 24
2021,Managers & Administrators (Including Working Proprietors),700,female,20 - 24
2020,Managers & Administrators (Including Working Proprietors),400,female,20 - 24
2019,Managers & Administrators (Including Working Proprietors),600,female,20 - 24
2018,Managers & Administrators (Including Working Proprietors),600,female,20 - 24
2017,Managers & Administrators (Including Working Proprietors),700,female,20 - 24
2016,Managers & Administrators (Including Working Proprietors),400,female,20 - 24
2015,Managers & Administrators (Including Working Proprietors),900,female,20 - 24
2014,Managers & Administrators (Including Working Proprietors),400,female,20 - 24
2013,Managers & Administrators (Including Working Proprietors),1100,female,20 - 24
2012,Managers & Administrators (Including Working Proprietors),1500,female,20 - 24
2011,Managers & Administrators (Including Working Proprietors),1400,female,20 - 24
2010,Managers & Administrators (Including Working Proprietors),1400,female,20 - 24
2009,Managers & Administrators (Including Working Proprietors),1000,female,20 - 24
2008,Managers & Administrators (Including Working Proprietors),1000,female,20 - 24
2007,Managers & Administrators (Including Working Proprietors),1600,female,20 - 24
2006,Managers & Administrators (Including Working Proprietors),0,female,20 - 24
2005,Managers & Administrators (Including Working Proprietors),900,female,20 - 24
2004,Managers & Administrators (Including Working Proprietors),800,female,20 - 24
2003,Managers & Administrators (Including Working Proprietors),1100,female,20 - 24
2002,Managers & Administrators (Including Working Proprietors),900,female,20 - 24
2001,Managers & Administrators (Including Working Proprietors),1700,female,20 - 24
2000,Managers & Administrators (Including Working Proprietors),2000,female,20 - 24
2021,Professionals,15200,female,20 - 24
2020,Professionals,9100,female,20 - 24
2019,Professionals,12800,female,20 - 24
2018,Professionals,11600,female,20 - 24
2017,Professionals,10100,female,20 - 24
2016,Professionals,11300,female,20 - 24
2015,Professionals,12400,female,20 - 24
2014,Professionals,11900,female,20 - 24
2013,Professionals,10800,female,20 - 24
2012,Professionals,14000,female,20 - 24
2011,Professionals,14600,female,20 - 24
2010,Professionals,14700,female,20 - 24
2009,Professionals,11400,female,20 - 24
2008,Professionals,13800,female,20 - 24
2007,Professionals,12000,female,20 - 24
2006,Professionals,0,female,20 - 24
2005,Professionals,11400,female,20 - 24
2004,Professionals,10900,female,20 - 24
2003,Professionals,10400,female,20 - 24
2002,Professionals,9900,female,20 - 24
2001,Professionals,12900,female,20 - 24
2000,Professionals,12900,female,20 - 24
2021,Associate Professionals & Technicians,17300,female,20 - 24
2020,Associate Professionals & Technicians,18800,female,20 - 24
2019,Associate Professionals & Technicians,19900,female,20 - 24
2018,Associate Professionals & Technicians,19600,female,20 - 24
2017,Associate Professionals & Technicians,19800,female,20 - 24
2016,Associate Professionals & Technicians,20700,female,20 - 24
2015,Associate Professionals & Technicians,23000,female,20 - 24
2014,Associate Professionals & Technicians,16800,female,20 - 24
2013,Associate Professionals & Technicians,15000,female,20 - 24
2012,Associate Professionals & Technicians,16400,female,20 - 24
2011,Associate Professionals & Technicians,16000,female,20 - 24
2010,Associate Professionals & Technicians,15000,female,20 - 24
2009,Associate Professionals & Technicians,15300,female,20 - 24
2008,Associate Professionals & Technicians,15400,female,20 - 24
2007,Associate Professionals & Technicians,14000,female,20 - 24
2006,Associate Professionals & Technicians,0,female,20 - 24
2005,Associate Professionals & Technicians,14800,female,20 - 24
2004,Associate Professionals & Technicians,14000,female,20 - 24
2003,Associate Professionals & Technicians,13800,female,20 - 24
2002,Associate Professionals & Technicians,12000,female,20 - 24
2001,Associate Professionals & Technicians,14600,female,20 - 24
2000,Associate Professionals & Technicians,15600,female,20 - 24
2021,Clerical Support Workers,14200,female,20 - 24
2020,Clerical Support Workers,13800,female,20 - 24
2019,Clerical Support Workers,14300,female,20 - 24
2018,Clerical Support Workers,17700,female,20 - 24
2017,Clerical Support Workers,16900,female,20 - 24
2016,Clerical Support Workers,19200,female,20 - 24
2015,Clerical Support Workers,21300,female,20 - 24
2014,Clerical Support Workers,22100,female,20 - 24
2013,Clerical Support Workers,22000,female,20 - 24
2012,Clerical Support Workers,23300,female,20 - 24
2011,Clerical Support Workers,22800,female,20 - 24
2010,Clerical Support Workers,20600,female,20 - 24
2009,Clerical Support Workers,17800,female,20 - 24
2008,Clerical Support Workers,19800,female,20 - 24
2007,Clerical Support Workers,19600,female,20 - 24
2006,Clerical Support Workers,0,female,20 - 24
2005,Clerical Support Workers,16500,female,20 - 24
2004,Clerical Support Workers,18900,female,20 - 24
2003,Clerical Support Workers,17100,female,20 - 24
2002,Clerical Support Workers,18600,female,20 - 24
2001,Clerical Support Workers,20200,female,20 - 24
2000,Clerical Support Workers,19500,female,20 - 24
2021,Service & Sales Workers,9900,female,20 - 24
2020,Service & Sales Workers,10500,female,20 - 24
2019,Service & Sales Workers,11700,female,20 - 24
2018,Service & Sales Workers,12700,female,20 - 24
2017,Service & Sales Workers,12300,female,20 - 24
2016,Service & Sales Workers,14300,female,20 - 24
2015,Service & Sales Workers,13300,female,20 - 24
2014,Service & Sales Workers,13400,female,20 - 24
2013,Service & Sales Workers,12600,female,20 - 24
2012,Service & Sales Workers,14000,female,20 - 24
2011,Service & Sales Workers,13400,female,20 - 24
2010,Service & Sales Workers,12200,female,20 - 24
2009,Service & Sales Workers,10100,female,20 - 24
2008,Service & Sales Workers,11400,female,20 - 24
2007,Service & Sales Workers,11000,female,20 - 24
2006,Service & Sales Workers,0,female,20 - 24
2005,Service & Sales Workers,11300,female,20 - 24
2004,Service & Sales Workers,10500,female,20 - 24
2003,Service & Sales Workers,10700,female,20 - 24
2002,Service & Sales Workers,8800,female,20 - 24
2001,Service & Sales Workers,9800,female,20 - 24
2000,Service & Sales Workers,7700,female,20 - 24
2021,Craftsmen & Related Trade Workers,600,female,20 - 24
2020,Craftsmen & Related Trade Workers,500,female,20 - 24
2019,Craftsmen & Related Trade Workers,700,female,20 - 24
2018,Craftsmen & Related Trade Workers,400,female,20 - 24
2017,Craftsmen & Related Trade Workers,500,female,20 - 24
2016,Craftsmen & Related Trade Workers,500,female,20 - 24
2015,Craftsmen & Related Trade Workers,600,female,20 - 24
2014,Craftsmen & Related Trade Workers,400,female,20 - 24
2013,Craftsmen & Related Trade Workers,400,female,20 - 24
2012,Craftsmen & Related Trade Workers,200,female,20 - 24
2011,Craftsmen & Related Trade Workers,200,female,20 - 24
2010,Craftsmen & Related Trade Workers,400,female,20 - 24
2009,Craftsmen & Related Trade Workers,0,female,20 - 24
2008,Craftsmen & Related Trade Workers,200,female,20 - 24
2007,Craftsmen & Related Trade Workers,400,female,20 - 24
2006,Craftsmen & Related Trade Workers,0,female,20 - 24
2005,Craftsmen & Related Trade Workers,200,female,20 - 24
2004,Craftsmen & Related Trade Workers,100,female,20 - 24
2003,Craftsmen & Related Trade Workers,200,female,20 - 24
2002,Craftsmen & Related Trade Workers,400,female,20 - 24
2001,Craftsmen & Related Trade Workers,200,female,20 - 24
2000,Craftsmen & Related Trade Workers,300,female,20 - 24
2021,Plant & Machine Operators & Assemblers,500,female,20 - 24
2020,Plant & Machine Operators & Assemblers,400,female,20 - 24
2019,Plant & Machine Operators & Assemblers,100,female,20 - 24
2018,Plant & Machine Operators & Assemblers,500,female,20 - 24
2017,Plant & Machine Operators & Assemblers,300,female,20 - 24
2016,Plant & Machine Operators & Assemblers,100,female,20 - 24
2015,Plant & Machine Operators & Assemblers,0,female,20 - 24
2014,Plant & Machine Operators & Assemblers,600,female,20 - 24
2013,Plant & Machine Operators & Assemblers,300,female,20 - 24
2012,Plant & Machine Operators & Assemblers,500,female,20 - 24
2011,Plant & Machine Operators & Assemblers,400,female,20 - 24
2010,Plant & Machine Operators & Assemblers,500,female,20 - 24
2009,Plant & Machine Operators & Assemblers,400,female,20 - 24
2008,Plant & Machine Operators & Assemblers,500,female,20 - 24
2007,Plant & Machine Operators & Assemblers,500,female,20 - 24
2006,Plant & Machine Operators & Assemblers,0,female,20 - 24
2005,Plant & Machine Operators & Assemblers,1100,female,20 - 24
2004,Plant & Machine Operators & Assemblers,1200,female,20 - 24
2003,Plant & Machine Operators & Assemblers,1100,female,20 - 24
2002,Plant & Machine Operators & Assemblers,1100,female,20 - 24
2001,Plant & Machine Operators & Assemblers,1000,female,20 - 24
2000,Plant & Machine Operators & Assemblers,1500,female,20 - 24
2021,"Cleaners, Labourers & Related Workers",2200,female,20 - 24
2020,"Cleaners, Labourers & Related Workers",1800,female,20 - 24
2019,"Cleaners, Labourers & Related Workers",1900,female,20 - 24
2018,"Cleaners, Labourers & Related Workers",1500,female,20 - 24
2017,"Cleaners, Labourers & Related Workers",1100,female,20 - 24
2016,"Cleaners, Labourers & Related Workers",1500,female,20 - 24
2015,"Cleaners, Labourers & Related Workers",1100,female,20 - 24
2014,"Cleaners, Labourers & Related Workers",1700,female,20 - 24
2013,"Cleaners, Labourers & Related Workers",700,female,20 - 24
2012,"Cleaners, Labourers & Related Workers",1500,female,20 - 24
2011,"Cleaners, Labourers & Related Workers",1600,female,20 - 24
2010,"Cleaners, Labourers & Related Workers",1100,female,20 - 24
2009,"Cleaners, Labourers & Related Workers",1200,female,20 - 24
2008,"Cleaners, Labourers & Related Workers",900,female,20 - 24
2007,"Cleaners, Labourers & Related Workers",900,female,20 - 24
2006,"Cleaners, Labourers & Related Workers",0,female,20 - 24
2005,"Cleaners, Labourers & Related Workers",500,female,20 - 24
2004,"Cleaners, Labourers & Related Workers",500,female,20 - 24
2003,"Cleaners, Labourers & Related Workers",800,female,20 - 24
2002,"Cleaners, Labourers & Related Workers",500,female,20 - 24
2001,"Cleaners, Labourers & Related Workers",500,female,20 - 24
2000,"Cleaners, Labourers & Related Workers",600,female,20 - 24
2021,Others,100,female,20 - 24
2020,Others,200,female,20 - 24
2019,Others,400,female,20 - 24
2018,Others,400,female,20 - 24
2017,Others,100,female,20 - 24
2016,Others,300,female,20 - 24
2015,Others,100,female,20 - 24
2014,Others,200,female,20 - 24
2013,Others,100,female,20 - 24
2012,Others,100,female,20 - 24
2011,Others,100,female,20 - 24
2010,Others,300,female,20 - 24
2009,Others,100,female,20 - 24
2008,Others,100,female,20 - 24
2007,Others,200,female,20 - 24
2006,Others,0,female,20 - 24
2005,Others,300,female,20 - 24
2004,Others,300,female,20 - 24
2003,Others,300,female,20 - 24
2002,Others,300,female,20 - 24
2001,Others,300,female,20 - 24
2000,Others,600,female,20 - 24
