year,age,sex,industry,numberOfWorkers,,,,,,,,,,,,,,,
2009,25-29,female,Manufacturing,10700,,,,,,,,,,,,,,,
2008,25-29,female,Manufacturing,13100,,,,,,,,,,,,,,,
2007,25-29,female,Manufacturing,15100,,,,,,,,,,,,,,,
2006,25-29,female,Manufacturing,12100,,,,,,,,,,,,,,,
2005,25-29,female,Manufacturing,14100,,,,,,,,,,,,,,,
2004,25-29,female,Manufacturing,14800,,,,,,,,,,,,,,,
2003,25-29,female,Manufacturing,17300,,,,,,,,,,,,,,,
2002,25-29,female,Manufacturing,15800,,,,,,,,,,,,,,,
2001,25-29,female,Manufacturing,18300,,,,,,,,,,,,,,,
2000,25-29,female,Manufacturing,17500,,,,,,,,,,,,,,,
2021,30-34,female,Manufacturing,8600,,,,,,,,,,,,,,,
2020,30-34,female,Manufacturing,6900,,,,,,,,,,,,,,,
2019,30-34,female,Manufacturing,7400,,,,,,,,,,,,,,,
2018,30-34,female,Manufacturing,7000,,,,,,,,,,,,,,,
2017,30-34,female,Manufacturing,7800,,,,,,,,,,,,,,,
2016,30-34,female,Manufacturing,7900,,,,,,,,,,,,,,,
2015,30-34,female,Manufacturing,9500,,,,,,,,,,,,,,,
2014,30-34,female,Manufacturing,9900,,,,,,,,,,,,,,,
2013,30-34,female,Manufacturing,13100,,,,,,,,,,,,,,,
2012,30-34,female,Manufacturing,14000,,,,,,,,,,,,,,,
2011,30-34,female,Manufacturing,14100,,,,,,,,,,,,,,,
2010,30-34,female,Manufacturing,17200,,,,,,,,,,,,,,,
2009,30-34,female,Manufacturing,16200,,,,,,,,,,,,,,,
2008,30-34,female,Manufacturing,16400,,,,,,,,,,,,,,,
2007,30-34,female,Manufacturing,18600,,,,,,,,,,,,,,,
2006,30-34,female,Manufacturing,17900,,,,,,,,,,,,,,,
2005,30-34,female,Manufacturing,17600,,,,,,,,,,,,,,,
2004,30-34,female,Manufacturing,19300,,,,,,,,,,,,,,,
2003,30-34,female,Manufacturing,21600,,,,,,,,,,,,,,,
2002,30-34,female,Manufacturing,19800,,,,,,,,,,,,,,,
2001,30-34,female,Manufacturing,20800,,,,,,,,,,,,,,,
2000,30-34,female,Manufacturing,20200,,,,,,,,,,,,,,,
2021,35-39,female,Manufacturing,9200,,,,,,,,,,,,,,,
2020,35-39,female,Manufacturing,9600,,,,,,,,,,,,,,,
2019,35-39,female,Manufacturing,9500,,,,,,,,,,,,,,,
2018,35-39,female,Manufacturing,12100,,,,,,,,,,,,,,,
2017,35-39,female,Manufacturing,11400,,,,,,,,,,,,,,,
2016,35-39,female,Manufacturing,9200,,,,,,,,,,,,,,,
2015,35-39,female,Manufacturing,11800,,,,,,,,,,,,,,,
2014,35-39,female,Manufacturing,11800,,,,,,,,,,,,,,,
2013,35-39,female,Manufacturing,15500,,,,,,,,,,,,,,,
2012,35-39,female,Manufacturing,14900,,,,,,,,,,,,,,,
2011,35-39,female,Manufacturing,15500,,,,,,,,,,,,,,,
2010,35-39,female,Manufacturing,17700,,,,,,,,,,,,,,,
2009,35-39,female,Manufacturing,20400,,,,,,,,,,,,,,,
2008,35-39,female,Manufacturing,19700,,,,,,,,,,,,,,,
2007,35-39,female,Manufacturing,20200,,,,,,,,,,,,,,,
2006,35-39,female,Manufacturing,17500,,,,,,,,,,,,,,,
2005,35-39,female,Manufacturing,18200,,,,,,,,,,,,,,,
2004,35-39,female,Manufacturing,20700,,,,,,,,,,,,,,,
2003,35-39,female,Manufacturing,19200,,,,,,,,,,,,,,,
2002,35-39,female,Manufacturing,18800,,,,,,,,,,,,,,,
2001,35-39,female,Manufacturing,18600,,,,,,,,,,,,,,,
2000,35-39,female,Manufacturing,19500,,,,,,,,,,,,,,,
2021,40-44,female,Manufacturing,10800,,,,,,,,,,,,,,,
2020,40-44,female,Manufacturing,10600,,,,,,,,,,,,,,,
2019,40-44,female,Manufacturing,11500,,,,,,,,,,,,,,,
2018,40-44,female,Manufacturing,12000,,,,,,,,,,,,,,,
2017,40-44,female,Manufacturing,11200,,,,,,,,,,,,,,,
2016,40-44,female,Manufacturing,12200,,,,,,,,,,,,,,,
2015,40-44,female,Manufacturing,13400,,,,,,,,,,,,,,,
2014,40-44,female,Manufacturing,13400,,,,,,,,,,,,,,,
2013,40-44,female,Manufacturing,16600,,,,,,,,,,,,,,,
2012,40-44,female,Manufacturing,16100,,,,,,,,,,,,,,,
2011,40-44,female,Manufacturing,16100,,,,,,,,,,,,,,,
2010,40-44,female,Manufacturing,17200,,,,,,,,,,,,,,,
2009,40-44,female,Manufacturing,17300,,,,,,,,,,,,,,,
2008,40-44,female,Manufacturing,17800,,,,,,,,,,,,,,,
2007,40-44,female,Manufacturing,17400,,,,,,,,,,,,,,,
2006,40-44,female,Manufacturing,19000,,,,,,,,,,,,,,,
2005,40-44,female,Manufacturing,16300,,,,,,,,,,,,,,,
2004,40-44,female,Manufacturing,18000,,,,,,,,,,,,,,,
2003,40-44,female,Manufacturing,17000,,,,,,,,,,,,,,,
2002,40-44,female,Manufacturing,19700,,,,,,,,,,,,,,,
2001,40-44,female,Manufacturing,19200,,,,,,,,,,,,,,,
2000,40-44,female,Manufacturing,18000,,,,,,,,,,,,,,,
2021,45-49,female,Manufacturing,10800,,,,,,,,,,,,,,,
2020,45-49,female,Manufacturing,10900,,,,,,,,,,,,,,,
2019,45-49,female,Manufacturing,12200,,,,,,,,,,,,,,,
2018,45-49,female,Manufacturing,12900,,,,,,,,,,,,,,,
2017,45-49,female,Manufacturing,12700,,,,,,,,,,,,,,,
2016,45-49,female,Manufacturing,11900,,,,,,,,,,,,,,,
2015,45-49,female,Manufacturing,12400,,,,,,,,,,,,,,,
2014,45-49,female,Manufacturing,12400,,,,,,,,,,,,,,,
2013,45-49,female,Manufacturing,16900,,,,,,,,,,,,,,,
2012,45-49,female,Manufacturing,14900,,,,,,,,,,,,,,,
2011,45-49,female,Manufacturing,15600,,,,,,,,,,,,,,,
2010,45-49,female,Manufacturing,14600,,,,,,,,,,,,,,,
2009,45-49,female,Manufacturing,13700,,,,,,,,,,,,,,,
2008,45-49,female,Manufacturing,16600,,,,,,,,,,,,,,,
2007,45-49,female,Manufacturing,16100,,,,,,,,,,,,,,,
2006,45-49,female,Manufacturing,16300,,,,,,,,,,,,,,,
2005,45-49,female,Manufacturing,13800,,,,,,,,,,,,,,,
2004,45-49,female,Manufacturing,15900,,,,,,,,,,,,,,,
2003,45-49,female,Manufacturing,15100,,,,,,,,,,,,,,,
2002,45-49,female,Manufacturing,16800,,,,,,,,,,,,,,,
2001,45-49,female,Manufacturing,16200,,,,,,,,,,,,,,,
2000,45-49,female,Manufacturing,15900,,,,,,,,,,,,,,,
2021,50-54,female,Manufacturing,9400,,,,,,,,,,,,,,,
2020,50-54,female,Manufacturing,10500,,,,,,,,,,,,,,,
2019,50-54,female,Manufacturing,10100,,,,,,,,,,,,,,,
2018,50-54,female,Manufacturing,12100,,,,,,,,,,,,,,,
2017,50-54,female,Manufacturing,9900,,,,,,,,,,,,,,,
2016,50-54,female,Manufacturing,12100,,,,,,,,,,,,,,,
2015,50-54,female,Manufacturing,11600,,,,,,,,,,,,,,,
2014,50-54,female,Manufacturing,12800,,,,,,,,,,,,,,,
2013,50-54,female,Manufacturing,12900,,,,,,,,,,,,,,,
2012,50-54,female,Manufacturing,12900,,,,,,,,,,,,,,,
2011,50-54,female,Manufacturing,12000,,,,,,,,,,,,,,,
2010,50-54,female,Manufacturing,11900,,,,,,,,,,,,,,,
2009,50-54,female,Manufacturing,13000,,,,,,,,,,,,,,,
2008,50-54,female,Manufacturing,12400,,,,,,,,,,,,,,,
2007,50-54,female,Manufacturing,11300,,,,,,,,,,,,,,,
2006,50-54,female,Manufacturing,13000,,,,,,,,,,,,,,,
2005,50-54,female,Manufacturing,10200,,,,,,,,,,,,,,,
2004,50-54,female,Manufacturing,11500,,,,,,,,,,,,,,,
2003,50-54,female,Manufacturing,11500,,,,,,,,,,,,,,,
2002,50-54,female,Manufacturing,10600,,,,,,,,,,,,,,,
2001,50-54,female,Manufacturing,9200,,,,,,,,,,,,,,,
2000,50-54,female,Manufacturing,8400,,,,,,,,,,,,,,,
2021,55-59,female,Manufacturing,9300,,,,,,,,,,,,,,,
2020,55-59,female,Manufacturing,8800,,,,,,,,,,,,,,,
2019,55-59,female,Manufacturing,9200,,,,,,,,,,,,,,,
2018,55-59,female,Manufacturing,8300,,,,,,,,,,,,,,,
2017,55-59,female,Manufacturing,7800,,,,,,,,,,,,,,,
2016,55-59,female,Manufacturing,8400,,,,,,,,,,,,,,,
2015,55-59,female,Manufacturing,9000,,,,,,,,,,,,,,,
2014,55-59,female,Manufacturing,8300,,,,,,,,,,,,,,,
2013,55-59,female,Manufacturing,8600,,,,,,,,,,,,,,,
2012,55-59,female,Manufacturing,8900,,,,,,,,,,,,,,,
2011,55-59,female,Manufacturing,8300,,,,,,,,,,,,,,,
2010,55-59,female,Manufacturing,7000,,,,,,,,,,,,,,,
2009,55-59,female,Manufacturing,7600,,,,,,,,,,,,,,,
2008,55-59,female,Manufacturing,6500,,,,,,,,,,,,,,,
2007,55-59,female,Manufacturing,6800,,,,,,,,,,,,,,,
2006,55-59,female,Manufacturing,6100,,,,,,,,,,,,,,,
2005,55-59,female,Manufacturing,5100,,,,,,,,,,,,,,,
2004,55-59,female,Manufacturing,5000,,,,,,,,,,,,,,,
2003,55-59,female,Manufacturing,3600,,,,,,,,,,,,,,,
2002,55-59,female,Manufacturing,4100,,,,,,,,,,,,,,,
2001,55-59,female,Manufacturing,3200,,,,,,,,,,,,,,,
2000,55-59,female,Manufacturing,2800,,,,,,,,,,,,,,,
2021,60-64,female,Manufacturing,7800,,,,,,,,,,,,,,,
2020,60-64,female,Manufacturing,5900,,,,,,,,,,,,,,,
2019,60-64,female,Manufacturing,4200,,,,,,,,,,,,,,,
2018,60-64,female,Manufacturing,5100,,,,,,,,,,,,,,,
2017,60-64,female,Manufacturing,5300,,,,,,,,,,,,,,,
2016,60-64,female,Manufacturing,5900,,,,,,,,,,,,,,,
2015,60-64,female,Manufacturing,5000,,,,,,,,,,,,,,,
2014,60-64,female,Manufacturing,4900,,,,,,,,,,,,,,,
2013,60-64,female,Manufacturing,5300,,,,,,,,,,,,,,,
2012,60-64,female,Manufacturing,4600,,,,,,,,,,,,,,,
2011,60-64,female,Manufacturing,4100,,,,,,,,,,,,,,,
2010,60-64,female,Manufacturing,2800,,,,,,,,,,,,,,,
2009,60-64,female,Manufacturing,2900,,,,,,,,,,,,,,,
2008,60-64,female,Manufacturing,2500,,,,,,,,,,,,,,,
2007,60-64,female,Manufacturing,2500,,,,,,,,,,,,,,,
2006,60-64,female,Manufacturing,1500,,,,,,,,,,,,,,,
2005,60-64,female,Manufacturing,1300,,,,,,,,,,,,,,,
2004,60-64,female,Manufacturing,1200,,,,,,,,,,,,,,,
2003,60-64,female,Manufacturing,1400,,,,,,,,,,,,,,,
2002,60-64,female,Manufacturing,1300,,,,,,,,,,,,,,,
2001,60-64,female,Manufacturing,1400,,,,,,,,,,,,,,,
2000,60-64,female,Manufacturing,1000,,,,,,,,,,,,,,,
2021,65 and older,female,Manufacturing,6600,,,,,,,,,,,,,,,
2020,65 and older,female,Manufacturing,5100,,,,,,,,,,,,,,,
2019,65 and older,female,Manufacturing,4600,,,,,,,,,,,,,,,
2018,65 and older,female,Manufacturing,4000,,,,,,,,,,,,,,,
2017,65 and older,female,Manufacturing,3800,,,,,,,,,,,,,,,
2016,65 and older,female,Manufacturing,4000,,,,,,,,,,,,,,,
2015,65 and older,female,Manufacturing,3400,,,,,,,,,,,,,,,
2014,65 and older,female,Manufacturing,2900,,,,,,,,,,,,,,,
2013,65 and older,female,Manufacturing,2800,,,,,,,,,,,,,,,
2012,65 and older,female,Manufacturing,2500,,,,,,,,,,,,,,,
2011,65 and older,female,Manufacturing,2000,,,,,,,,,,,,,,,
2010,65 and older,female,Manufacturing,1900,,,,,,,,,,,,,,,
2009,65 and older,female,Manufacturing,1000,,,,,,,,,,,,,,,
2008,65 and older,female,Manufacturing,1600,,,,,,,,,,,,,,,
2007,65 and older,female,Manufacturing,1300,,,,,,,,,,,,,,,
2006,65 and older,female,Manufacturing,1300,,,,,,,,,,,,,,,
2005,65 and older,female,Manufacturing,700,,,,,,,,,,,,,,,
2004,65 and older,female,Manufacturing,600,,,,,,,,,,,,,,,
2003,65 and older,female,Manufacturing,800,,,,,,,,,,,,,,,
2002,65 and older,female,Manufacturing,600,,,,,,,,,,,,,,,
2001,65 and older,female,Manufacturing,600,,,,,,,,,,,,,,,
2000,65 and older,female,Manufacturing,600,,,,,,,,,,,,,,,
2021,15-19,male,Manufacturing,400,,,,,,,,,,,,,,,
2020,15-19,male,Manufacturing,600,,,,,,,,,,,,,,,
2019,15-19,male,Manufacturing,200,,,,,,,,,,,,,,,
2018,15-19,male,Manufacturing,500,,,,,,,,,,,,,,,
2017,15-19,male,Manufacturing,500,,,,,,,,,,,,,,,
2016,15-19,male,Manufacturing,300,,,,,,,,,,,,,,,
2015,15-19,male,Manufacturing,700,,,,,,,,,,,,,,,
2014,15-19,male,Manufacturing,200,,,,,,,,,,,,,,,
2013,15-19,male,Manufacturing,200,,,,,,,,,,,,,,,
2012,15-19,male,Manufacturing,600,,,,,,,,,,,,,,,
2011,15-19,male,Manufacturing,300,,,,,,,,,,,,,,,
2010,15-19,male,Manufacturing,400,,,,,,,,,,,,,,,
2009,15-19,male,Manufacturing,200,,,,,,,,,,,,,,,
2008,15-19,male,Manufacturing,600,,,,,,,,,,,,,,,
2007,15-19,male,Manufacturing,400,,,,,,,,,,,,,,,
2006,15-19,male,Manufacturing,600,,,,,,,,,,,,,,,
2005,15-19,male,Manufacturing,100,,,,,,,,,,,,,,,
2004,15-19,male,Manufacturing,400,,,,,,,,,,,,,,,
2003,15-19,male,Manufacturing,400,,,,,,,,,,,,,,,
2002,15-19,male,Manufacturing,300,,,,,,,,,,,,,,,
2001,15-19,male,Manufacturing,700,,,,,,,,,,,,,,,
2000,15-19,male,Manufacturing,300,,,,,,,,,,,,,,,
2021,20-24,male,Manufacturing,2700,,,,,,,,,,,,,,,
2020,20-24,male,Manufacturing,2500,,,,,,,,,,,,,,,
2019,20-24,male,Manufacturing,2000,,,,,,,,,,,,,,,
2018,20-24,male,Manufacturing,3000,,,,,,,,,,,,,,,
2017,20-24,male,Manufacturing,2300,,,,,,,,,,,,,,,
2016,20-24,male,Manufacturing,3400,,,,,,,,,,,,,,,
2015,20-24,male,Manufacturing,3200,,,,,,,,,,,,,,,
2014,20-24,male,Manufacturing,2800,,,,,,,,,,,,,,,
2013,20-24,male,Manufacturing,3500,,,,,,,,,,,,,,,
2012,20-24,male,Manufacturing,3500,,,,,,,,,,,,,,,
2011,20-24,male,Manufacturing,4000,,,,,,,,,,,,,,,
2010,20-24,male,Manufacturing,3800,,,,,,,,,,,,,,,
2009,20-24,male,Manufacturing,3200,,,,,,,,,,,,,,,
2008,20-24,male,Manufacturing,5200,,,,,,,,,,,,,,,
2007,20-24,male,Manufacturing,6000,,,,,,,,,,,,,,,
2006,20-24,male,Manufacturing,5500,,,,,,,,,,,,,,,
2005,20-24,male,Manufacturing,5300,,,,,,,,,,,,,,,
2004,20-24,male,Manufacturing,4000,,,,,,,,,,,,,,,
2003,20-24,male,Manufacturing,3600,,,,,,,,,,,,,,,
2002,20-24,male,Manufacturing,4700,,,,,,,,,,,,,,,
2001,20-24,male,Manufacturing,5000,,,,,,,,,,,,,,,
2000,20-24,male,Manufacturing,5700,,,,,,,,,,,,,,,
2021,25-29,male,Manufacturing,9300,,,,,,,,,,,,,,,
2020,25-29,male,Manufacturing,10600,,,,,,,,,,,,,,,
2019,25-29,male,Manufacturing,8300,,,,,,,,,,,,,,,
2018,25-29,male,Manufacturing,9200,,,,,,,,,,,,,,,
2017,25-29,male,Manufacturing,9600,,,,,,,,,,,,,,,
2016,25-29,male,Manufacturing,8900,,,,,,,,,,,,,,,
2015,25-29,male,Manufacturing,8600,,,,,,,,,,,,,,,
2014,25-29,male,Manufacturing,11200,,,,,,,,,,,,,,,
2013,25-29,male,Manufacturing,11800,,,,,,,,,,,,,,,
2012,25-29,male,Manufacturing,12800,,,,,,,,,,,,,,,
2011,25-29,male,Manufacturing,15300,,,,,,,,,,,,,,,
2010,25-29,male,Manufacturing,15000,,,,,,,,,,,,,,,
2009,25-29,male,Manufacturing,16700,,,,,,,,,,,,,,,
2008,25-29,male,Manufacturing,18400,,,,,,,,,,,,,,,
2007,25-29,male,Manufacturing,18500,,,,,,,,,,,,,,,
2006,25-29,male,Manufacturing,20200,,,,,,,,,,,,,,,
2005,25-29,male,Manufacturing,18700,,,,,,,,,,,,,,,
2004,25-29,male,Manufacturing,18300,,,,,,,,,,,,,,,
2003,25-29,male,Manufacturing,20100,,,,,,,,,,,,,,,
2002,25-29,male,Manufacturing,20100,,,,,,,,,,,,,,,
2001,25-29,male,Manufacturing,22400,,,,,,,,,,,,,,,
2000,25-29,male,Manufacturing,23500,,,,,,,,,,,,,,,
2021,30-34,male,Manufacturing,11600,,,,,,,,,,,,,,,
2020,30-34,male,Manufacturing,10600,,,,,,,,,,,,,,,
2019,30-34,male,Manufacturing,11200,,,,,,,,,,,,,,,
2018,30-34,male,Manufacturing,11500,,,,,,,,,,,,,,,
2017,30-34,male,Manufacturing,10800,,,,,,,,,,,,,,,
2016,30-34,male,Manufacturing,14700,,,,,,,,,,,,,,,
2015,30-34,male,Manufacturing,16100,,,,,,,,,,,,,,,
2014,30-34,male,Manufacturing,16700,,,,,,,,,,,,,,,
2013,30-34,male,Manufacturing,19700,,,,,,,,,,,,,,,
2012,30-34,male,Manufacturing,21500,,,,,,,,,,,,,,,
2011,30-34,male,Manufacturing,25700,,,,,,,,,,,,,,,
2010,30-34,male,Manufacturing,24900,,,,,,,,,,,,,,,
2009,30-34,male,Manufacturing,25400,,,,,,,,,,,,,,,
2008,30-34,male,Manufacturing,26100,,,,,,,,,,,,,,,
2007,30-34,male,Manufacturing,28600,,,,,,,,,,,,,,,
2006,30-34,male,Manufacturing,26400,,,,,,,,,,,,,,,
2005,30-34,male,Manufacturing,26600,,,,,,,,,,,,,,,
2004,30-34,male,Manufacturing,27300,,,,,,,,,,,,,,,
2003,30-34,male,Manufacturing,30100,,,,,,,,,,,,,,,
2002,30-34,male,Manufacturing,28500,,,,,,,,,,,,,,,
2001,30-34,male,Manufacturing,33200,,,,,,,,,,,,,,,
2000,30-34,male,Manufacturing,32700,,,,,,,,,,,,,,,
2021,35-39,male,Manufacturing,14700,,,,,,,,,,,,,,,
2020,35-39,male,Manufacturing,14400,,,,,,,,,,,,,,,
2019,35-39,male,Manufacturing,15600,,,,,,,,,,,,,,,
2018,35-39,male,Manufacturing,17300,,,,,,,,,,,,,,,
2017,35-39,male,Manufacturing,19200,,,,,,,,,,,,,,,
2016,35-39,male,Manufacturing,18900,,,,,,,,,,,,,,,
2015,35-39,male,Manufacturing,20200,,,,,,,,,,,,,,,
2014,35-39,male,Manufacturing,23400,,,,,,,,,,,,,,,
2013,35-39,male,Manufacturing,25100,,,,,,,,,,,,,,,
2012,35-39,male,Manufacturing,27800,,,,,,,,,,,,,,,
2011,35-39,male,Manufacturing,29100,,,,,,,,,,,,,,,
2010,35-39,male,Manufacturing,30200,,,,,,,,,,,,,,,
2009,35-39,male,Manufacturing,28700,,,,,,,,,,,,,,,
2008,35-39,male,Manufacturing,33600,,,,,,,,,,,,,,,
2007,35-39,male,Manufacturing,31300,,,,,,,,,,,,,,,
2006,35-39,male,Manufacturing,31900,,,,,,,,,,,,,,,
2005,35-39,male,Manufacturing,30600,,,,,,,,,,,,,,,
2004,35-39,male,Manufacturing,32100,,,,,,,,,,,,,,,
2003,35-39,male,Manufacturing,37300,,,,,,,,,,,,,,,
2002,35-39,male,Manufacturing,38600,,,,,,,,,,,,,,,
2001,35-39,male,Manufacturing,38600,,,,,,,,,,,,,,,
2000,35-39,male,Manufacturing,34700,,,,,,,,,,,,,,,
2021,40-44,male,Manufacturing,19300,,,,,,,,,,,,,,,
2020,40-44,male,Manufacturing,18700,,,,,,,,,,,,,,,
2019,40-44,male,Manufacturing,18000,,,,,,,,,,,,,,,
2018,40-44,male,Manufacturing,24200,,,,,,,,,,,,,,,
2017,40-44,male,Manufacturing,22900,,,,,,,,,,,,,,,
2016,40-44,male,Manufacturing,21500,,,,,,,,,,,,,,,
2015,40-44,male,Manufacturing,24100,,,,,,,,,,,,,,,
2014,40-44,male,Manufacturing,23500,,,,,,,,,,,,,,,
2013,40-44,male,Manufacturing,25800,,,,,,,,,,,,,,,
2012,40-44,male,Manufacturing,27500,,,,,,,,,,,,,,,
2011,40-44,male,Manufacturing,27800,,,,,,,,,,,,,,,
2010,40-44,male,Manufacturing,31200,,,,,,,,,,,,,,,
2009,40-44,male,Manufacturing,30800,,,,,,,,,,,,,,,
2008,40-44,male,Manufacturing,33900,,,,,,,,,,,,,,,
2007,40-44,male,Manufacturing,31500,,,,,,,,,,,,,,,
2006,40-44,male,Manufacturing,35100,,,,,,,,,,,,,,,
2005,40-44,male,Manufacturing,30900,,,,,,,,,,,,,,,
2004,40-44,male,Manufacturing,33400,,,,,,,,,,,,,,,
2003,40-44,male,Manufacturing,32700,,,,,,,,,,,,,,,
2002,40-44,male,Manufacturing,33100,,,,,,,,,,,,,,,
2001,40-44,male,Manufacturing,34000,,,,,,,,,,,,,,,
2000,40-44,male,Manufacturing,30100,,,,,,,,,,,,,,,
2021,45-49,male,Manufacturing,19100,,,,,,,,,,,,,,,
2020,45-49,male,Manufacturing,19800,,,,,,,,,,,,,,,
2019,45-49,male,Manufacturing,21300,,,,,,,,,,,,,,,
2018,45-49,male,Manufacturing,20800,,,,,,,,,,,,,,,
2017,45-49,male,Manufacturing,22500,,,,,,,,,,,,,,,
2016,45-49,male,Manufacturing,21900,,,,,,,,,,,,,,,
2015,45-49,male,Manufacturing,24700,,,,,,,,,,,,,,,
2014,45-49,male,Manufacturing,23600,,,,,,,,,,,,,,,
2013,45-49,male,Manufacturing,28500,,,,,,,,,,,,,,,
2012,45-49,male,Manufacturing,29900,,,,,,,,,,,,,,,
2011,45-49,male,Manufacturing,31200,,,,,,,,,,,,,,,
2010,45-49,male,Manufacturing,29300,,,,,,,,,,,,,,,
2009,45-49,male,Manufacturing,28500,,,,,,,,,,,,,,,
2008,45-49,male,Manufacturing,31100,,,,,,,,,,,,,,,
2007,45-49,male,Manufacturing,27600,,,,,,,,,,,,,,,
2006,45-49,male,Manufacturing,29600,,,,,,,,,,,,,,,
2005,45-49,male,Manufacturing,24400,,,,,,,,,,,,,,,
2004,45-49,male,Manufacturing,27900,,,,,,,,,,,,,,,
2003,45-49,male,Manufacturing,27600,,,,,,,,,,,,,,,
2002,45-49,male,Manufacturing,24900,,,,,,,,,,,,,,,
2001,45-49,male,Manufacturing,24900,,,,,,,,,,,,,,,
2000,45-49,male,Manufacturing,22600,,,,,,,,,,,,,,,
2021,50-54,male,Manufacturing,15800,,,,,,,,,,,,,,,
2020,50-54,male,Manufacturing,19800,,,,,,,,,,,,,,,
2019,50-54,male,Manufacturing,21700,,,,,,,,,,,,,,,
2018,50-54,male,Manufacturing,20800,,,,,,,,,,,,,,,
2017,50-54,male,Manufacturing,21500,,,,,,,,,,,,,,,
2016,50-54,male,Manufacturing,21800,,,,,,,,,,,,,,,
2015,50-54,male,Manufacturing,21900,,,,,,,,,,,,,,,
2014,50-54,male,Manufacturing,23400,,,,,,,,,,,,,,,
2013,50-54,male,Manufacturing,24900,,,,,,,,,,,,,,,
2012,50-54,male,Manufacturing,24700,,,,,,,,,,,,,,,
2011,50-54,male,Manufacturing,24700,,,,,,,,,,,,,,,
2010,50-54,male,Manufacturing,23600,,,,,,,,,,,,,,,
2009,50-54,male,Manufacturing,24000,,,,,,,,,,,,,,,
2008,50-54,male,Manufacturing,24500,,,,,,,,,,,,,,,
